                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81887,                 4.6072,                 1.3027,                      0,                      0,                      0,                      0,                0.49891,                  10.59,                0.95777,              8.658e-05,              8.658e-05,              8.658e-05
                      2,                0.68204,                 4.1936,                 1.2158,                0.01806,                0.81413,                0.08863,                0.07881,                0.64645,                 12.319,                 1.0815,               0.000173,               0.000173,               0.000173
                      3,                0.73434,                 3.8625,                 1.2299,                0.78388,                0.09857,                0.22145,                0.19266,                0.64874,                 12.541,                 1.0332,             0.00025585,             0.00025585,             0.00025585
                      4,                0.69967,                 3.5795,                 1.2252,                0.67173,                0.18395,                0.27746,                0.24614,                0.55106,                 13.285,                0.97888,             0.00031322,             0.00031322,             0.00031322
                      5,                0.70696,                 3.1822,                 1.1977,                0.61101,                0.27941,                 0.3394,                0.30151,                0.56939,                  18.32,                0.96892,             0.00030663,             0.00030663,             0.00030663
                      6,                0.67959,                 2.8806,                 1.1601,                0.30891,                0.52355,                0.39768,                0.36275,                0.49985,                 19.257,                0.93574,             0.00030003,             0.00030003,             0.00030003
                      7,                0.62453,                 2.6222,                 1.1225,                0.34795,                0.59667,                0.43013,                0.38463,                0.50954,                 20.099,                 0.9486,             0.00029344,             0.00029344,             0.00029344
                      8,                0.64321,                 2.5843,                 1.1632,                0.31088,                0.72835,                0.44845,                0.40303,                0.51262,                  17.54,                0.96931,             0.00028685,             0.00028685,             0.00028685
                      9,                0.62539,                 2.3556,                 1.1235,                0.45718,                0.70178,                0.53406,                0.47686,                0.48175,                 19.943,                0.93391,             0.00028025,             0.00028025,             0.00028025
                     10,                0.61699,                 2.2838,                 1.1124,                0.38861,                0.77955,                0.54686,                0.47757,                0.52517,                 15.961,                0.94818,             0.00027366,             0.00027366,             0.00027366
                     11,                0.61002,                 2.1875,                 1.1104,                0.36693,                0.83988,                0.54454,                0.48818,                0.51633,                  15.39,                0.93753,             0.00026707,             0.00026707,             0.00026707
                     12,                0.62038,                 2.1057,                 1.1217,                0.40249,                0.80446,                0.56103,                0.48365,                0.54774,                 16.675,                0.96509,             0.00026047,             0.00026047,             0.00026047
                     13,                0.60396,                 2.0298,                 1.1043,                0.55457,                0.70472,                0.59124,                0.52534,                0.53092,                 16.573,                0.95812,             0.00025388,             0.00025388,             0.00025388
                     14,                0.56922,                 1.8772,                 1.0875,                0.53269,                0.80614,                0.61825,                0.55205,                0.48171,                 14.598,                0.91336,             0.00024729,             0.00024729,             0.00024729
                     15,                0.55674,                 1.8253,                 1.0724,                 0.4973,                0.75167,                0.57827,                0.52713,                0.46135,                 14.879,                0.90808,             0.00024069,             0.00024069,             0.00024069
                     16,                0.54593,                 1.7374,                 1.0666,                0.53373,                0.80869,                0.62816,                0.56267,                0.42725,                 13.884,                0.87963,              0.0002341,              0.0002341,              0.0002341
                     17,                 0.5566,                 1.7595,                 1.0698,                0.54513,                0.87147,                0.62703,                0.57505,                0.43334,                 12.759,                0.88029,             0.00022751,             0.00022751,             0.00022751
                     18,                 0.5213,                 1.5612,                 1.0232,                0.53732,                0.89119,                0.69905,                0.62844,                0.43007,                 14.847,                0.89243,             0.00022091,             0.00022091,             0.00022091
                     19,                0.51996,                 1.5603,                 1.0546,                0.56024,                0.89882,                0.73375,                0.67336,                0.42815,                 12.712,                0.87948,             0.00021432,             0.00021432,             0.00021432
                     20,                0.50276,                  1.461,                 1.0212,                 0.5898,                0.81706,                0.68419,                0.62688,                0.41109,                 13.365,                0.87897,             0.00020773,             0.00020773,             0.00020773
                     21,                0.52114,                 1.4953,                 1.0407,                0.56525,                0.88614,                0.69857,                0.62609,                0.45113,                 13.095,                 0.8809,             0.00020113,             0.00020113,             0.00020113
                     22,                0.50156,                 1.3828,                0.99318,                0.55488,                0.82815,                0.69159,                0.63092,                0.43287,                 13.742,                0.88946,             0.00019454,             0.00019454,             0.00019454
                     23,                0.48814,                 1.3882,                 1.0262,                0.53453,                0.83814,                0.67822,                0.62759,                0.38827,                 13.722,                0.86107,             0.00018795,             0.00018795,             0.00018795
                     24,                0.50197,                 1.3979,                 1.0266,                0.56323,                0.90025,                 0.6811,                0.61915,                0.44558,                 14.692,                0.88872,             0.00018135,             0.00018135,             0.00018135
                     25,                0.49665,                 1.3297,                 1.0222,                0.56028,                0.88639,                0.69249,                0.63584,                0.41369,                 14.114,                0.87507,             0.00017476,             0.00017476,             0.00017476
                     26,                0.46962,                 1.2733,                0.99313,                0.55176,                0.89831,                0.72342,                0.66716,                0.40235,                 12.642,                0.85966,             0.00016817,             0.00016817,             0.00016817
                     27,                0.47018,                 1.2304,                 1.0074,                 0.5501,                0.86564,                0.70691,                0.63709,                0.43797,                 11.475,                0.90132,             0.00016157,             0.00016157,             0.00016157
                     28,                 0.4643,                 1.2906,                0.99622,                0.56531,                0.89603,                0.72804,                0.66396,                0.41326,                 11.988,                0.87927,             0.00015498,             0.00015498,             0.00015498
                     29,                0.46713,                 1.2227,                0.98957,                0.59219,                0.88087,                0.78071,                0.70742,                0.42921,                 12.607,                0.87958,             0.00014838,             0.00014838,             0.00014838
                     30,                0.47645,                 1.2434,                 1.0014,                0.60935,                0.89469,                0.77177,                0.70762,                0.41417,                 10.805,                0.87406,             0.00014179,             0.00014179,             0.00014179
                     31,                0.44873,                 1.1761,                 1.0078,                0.56773,                0.90956,                 0.7523,                0.69534,                0.40099,                 12.738,                0.86893,              0.0001352,              0.0001352,              0.0001352
                     32,                0.44947,                 1.1332,                0.98296,                0.57637,                0.95489,                0.73568,                 0.6817,                0.38971,                 12.865,                0.85362,              0.0001286,              0.0001286,              0.0001286
                     33,                0.43852,                 1.1303,                0.98996,                0.59784,                0.89867,                0.72897,                0.66995,                0.40236,                 13.206,                0.86664,             0.00012201,             0.00012201,             0.00012201
                     34,                0.44428,                 1.1092,                0.98559,                 0.5809,                0.89515,                0.75009,                0.68651,                 0.4052,                 13.042,                 0.8683,             0.00011542,             0.00011542,             0.00011542
                     35,                0.43272,                 1.1002,                0.98731,                0.58266,                0.95158,                0.73235,                0.66835,                 0.4089,                 12.136,                 0.8796,             0.00010882,             0.00010882,             0.00010882
