                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38632,                0.88769,                0.95809,                 0.5816,                0.87526,                 0.7726,                0.71909,                0.36328,                 14.581,                0.85018,              8.658e-05,              8.658e-05,              8.658e-05
                      2,                0.34615,                0.74362,                0.93609,                0.57393,                0.88855,                0.77638,                0.72267,                0.38911,                 11.555,                0.86015,              0.0001695,              0.0001695,              0.0001695
                      3,                0.36279,                 0.7561,                0.94181,                0.55277,                 0.8862,                0.73478,                0.67708,                0.41325,                 9.9858,                0.85841,              0.0002453,              0.0002453,              0.0002453
                      4,                0.39332,                0.83086,                0.96737,                0.54928,                0.91361,                0.74227,                0.68117,                0.38392,                 12.539,                0.84516,             0.00029344,             0.00029344,             0.00029344
                      5,                0.38564,                0.76486,                0.94294,                0.58052,                0.88619,                0.74044,                0.67785,                0.42773,                  13.25,                0.89266,             0.00028025,             0.00028025,             0.00028025
                      6,                0.39171,                0.76952,                0.94281,                0.56976,                0.92107,                0.71761,                0.65045,                0.41608,                 12.635,                0.87048,             0.00026707,             0.00026707,             0.00026707
                      7,                  0.384,                0.74762,                0.94534,                0.57583,                 0.8577,                0.70415,                0.64242,                0.40266,                 12.926,                0.86588,             0.00025388,             0.00025388,             0.00025388
                      8,                0.38662,                0.80131,                0.96586,                0.57872,                0.87761,                0.73612,                0.67407,                0.39364,                 10.148,                0.84983,             0.00024069,             0.00024069,             0.00024069
                      9,                0.38363,                0.76166,                 0.9605,                0.56105,                0.89848,                0.69662,                0.64294,                0.39552,                   14.2,                0.84628,             0.00022751,             0.00022751,             0.00022751
                     10,                0.37595,                0.78225,                0.96872,                0.60686,                0.90083,                0.71398,                0.64713,                0.41021,                 10.913,                0.87024,             0.00021432,             0.00021432,             0.00021432
                     11,                0.37051,                0.76001,                0.95049,                0.57466,                0.95114,                0.75038,                0.69045,                  0.416,                  11.21,                0.86184,             0.00020113,             0.00020113,             0.00020113
                     12,                0.37715,                0.75137,                0.95984,                0.59026,                0.89321,                0.72245,                 0.6577,                0.44702,                 11.562,                0.89203,             0.00018795,             0.00018795,             0.00018795
                     13,                0.37844,                0.72675,                0.94937,                0.58238,                0.88265,                0.71976,                0.67151,                0.40581,                 11.202,                0.86632,             0.00017476,             0.00017476,             0.00017476
                     14,                0.36392,                0.69484,                0.94403,                0.56122,                 0.8882,                0.74769,                0.70057,                0.36927,                 10.471,                0.83772,             0.00016157,             0.00016157,             0.00016157
                     15,                0.36434,                0.69376,                0.94553,                 0.6086,                0.86152,                0.79029,                0.72962,                0.37527,                 10.208,                0.84179,             0.00014838,             0.00014838,             0.00014838
                     16,                0.32011,                0.79716,                0.91396,                0.61716,                0.83103,                0.79633,                 0.7356,                0.40062,                 8.2555,                0.84075,              0.0001352,              0.0001352,              0.0001352
                     17,                0.31236,                0.76876,                0.90439,                0.59291,                0.86107,                0.76346,                0.70425,                0.39845,                 11.541,                0.84436,             0.00012201,             0.00012201,             0.00012201
                     18,                0.31155,                0.74641,                0.90003,                0.57787,                0.88266,                0.77165,                0.72108,                0.38403,                 10.845,                0.83809,             0.00010882,             0.00010882,             0.00010882
                     19,                0.30886,                0.73369,                0.89411,                0.59437,                0.86929,                0.79736,                0.73071,                0.39242,                 11.159,                0.85024,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     20,                0.30714,                0.71712,                0.90394,                0.56203,                0.90939,                0.78566,                0.72272,                0.35368,                 11.302,                0.83382,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     21,                0.28984,                 0.6903,                0.88092,                0.57899,                0.88555,                0.78369,                0.72378,                0.36893,                 11.446,                 0.8352,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     22,                0.28914,                0.69656,                0.87709,                0.59136,                0.87632,                0.76058,                0.70446,                0.35962,                 11.371,                0.83314,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     23,                0.28387,                0.68852,                0.88663,                0.58694,                0.87423,                0.77689,                0.72065,                0.35388,                 10.983,                0.82983,              4.289e-05,              4.289e-05,              4.289e-05
                     24,                0.29305,                0.68054,                0.89768,                0.59433,                0.88365,                0.77341,                0.71624,                0.36252,                 11.127,                0.83446,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     25,                0.28056,                0.65966,                0.87921,                0.59188,                0.88524,                0.77555,                0.71918,                0.35941,                 11.348,                0.83502,             1.6517e-05,             1.6517e-05,             1.6517e-05
